"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
"2018-05-14","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,50
"2018-05-14","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,87
"2018-05-15","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,25
"2018-05-15","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,32,NA
"2018-05-16","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,24,NA
"2018-05-17","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,17,NA
"2018-05-17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,31
"2018-05-17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,29
"2018-05-17","Millbrook School","Wake",35.856111,-78.574167,5,2018,15,NA
"2018-05-18","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,0,NA
"2018-05-20","Bryson City","Swain",35.434767,-83.442133,5,2018,38,NA
"2018-05-21","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,NA,42
"2018-05-21","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,23,NA
"2018-05-21","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,33,NA
"2018-05-22","Bryson City","Swain",35.434767,-83.442133,5,2018,NA,25
"2018-05-22","Millbrook School","Wake",35.856111,-78.574167,5,2018,NA,27
"2018-05-23","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,NA,29
"2018-05-23","Leggett","Edgecombe",35.988278,-77.5843,5,2018,27,NA
"2018-05-23","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,NA,36
"2018-05-24","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,38,NA
"2018-05-24","Millbrook School","Wake",35.856111,-78.574167,5,2018,33,NA
"2018-05-25","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,NA,30
"2018-05-26","Leggett","Edgecombe",35.988278,-77.5843,5,2018,NA,24
"2018-05-26","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,NA,24
"2018-05-27","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,30,NA
"2018-05-27","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,31
"2018-05-27","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,26
"2018-05-28","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,18
"2018-05-28","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,18,NA
"2018-05-30","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,11,NA
"2018-05-30","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,28
"2018-05-30","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,28
"2018-05-30","Millbrook School","Wake",35.856111,-78.574167,5,2018,21,NA
"2018-05-30","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,22,NA
"2018-06-01","Millbrook School","Wake",35.856111,-78.574167,6,2018,28,NA
"2018-06-03","Clemmons Middle","Forsyth",36.026,-80.342,6,2018,NA,44
